Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Greg DortchG. Dortch,ARI@CAR,1.00,0,0,0,0,0,0,1,8,0,0,1,19,0,0,0,0
Zach ErtzZ. Ertz,PHI@WAS,1.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Tucker FiskT. Fisk,DEN@LAC,1.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Pat FreiermuthP. Freiermuth,PIT@BAL,1.00,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
Mike GesickiM. Gesicki,CLE@CIN,1.00,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Noah GrayN. Gray,HOU@KC,1.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Quentin JohnstonQ. Johnston,DEN@LAC,1.00,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
Dalton KincaidD. Kincaid,NE@BUF,1.00,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0
Tyler LockettT. Lockett,MIN@SEA,1.00,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
Scott MatlockS. Matlock,DEN@LAC,1.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Luke McCaffreyL. McCaffrey,PHI@WAS,1.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Ray Ray McCloudR. McCloud,NYG@ATL,1.00,0,0,0,0,0,0,1,8,0,0,3,19,0,0,0,0
Michael PittmanM. Pittman,TEN@IND,1.00,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
Craig ReynoldsC. Reynolds,DET@CHI,1.00,0,0,0,0,0,0,4,18,0,0,1,5,0,0,0,0
Brian RobinsonB. Robinson,PHI@WAS,1.00,0,0,0,0,0,0,10,24,0,0,2,17,0,0,2,0
Jeremy RuckertJ. Ruckert,LA@NYJ,1.00,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
